Headlines,link,Date
" 

                         ,	
			                  		,
										Klaasen surprised by Kohli's decision not to bowl Bhuvi, Bumrah at death","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/11/south-africa-india-pink-odi-klassen-kohli-miller-bhuvi-bumrah.html,/sports/cricket/2018/02/11/south-africa-india-pink-odi-klassen-kohli-miller-bhuvi-bumrah.html",
" 

                         ,	
			                  		,
										La Liga: Ronaldo hat-trick sinks Sociedad","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/Football&pathFrom=/content/mm/en/sports,/sports/football/2018/02/11/la-liga-ronaldo-hat-trick-real-madrid-real-sociedad.html,/sports/football/2018/02/11/la-liga-ronaldo-hat-trick-real-madrid-real-sociedad.html",
" 

                         ,	
			                  		,
										No-ball hurts India yet again in a big game","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/11/no-ball-hurts-india-yet-again-in-a-big-game.html,/sports/cricket/2018/02/11/no-ball-hurts-india-yet-again-in-a-big-game.html",
" 

                         ,	
			                  		,
										Aguero scores four in City romp, Kane leads Spurs past Arsenal","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/Football&pathFrom=/content/mm/en/sports,/sports/football/2018/02/11/aguero-scores-four-in-city-romp-kane-leads-spurs-past-arsenal.html,/sports/football/2018/02/11/aguero-scores-four-in-city-romp-kane-leads-spurs-past-arsenal.html",
" 

                         ,	
			                  		,
										Johannesburg ODI: Plucky South Africa keep series alive","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/10/south-africa-india-odi-series-de-villiers-kohli.html,/sports/cricket/2018/02/10/south-africa-india-odi-series-de-villiers-kohli.html",
" 

                         ,	
			                  		,
										Indian luger Keshavan placed 34th after two rounds","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/other-sports&pathFrom=/content/mm/en/sports,/sports/other-sports/2018/02/11/indian-luger-keshavan-placed-34th-two-rounds.html,/sports/other-sports/2018/02/11/indian-luger-keshavan-placed-34th-two-rounds.html",
" 

                         ,	
			                  		,
										Wolvaardt, du Preez deny India clean sweep","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/11/wolvaart-du-preez-deny-india-clean-sweep.html,/sports/cricket/2018/02/11/wolvaart-du-preez-deny-india-clean-sweep.html",
" 

                         ,	
			                  		,
										Kane heads Spurs to derby victory over Arsenal","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/Football&pathFrom=/content/mm/en/sports,/sports/football/2018/02/10/kane-heads-spurs-derby-victory-arsenal.html,/sports/football/2018/02/10/kane-heads-spurs-derby-victory-arsenal.html",
" 

                         ,	
			                  		,
										Fed Cup: Ankita,  Karman ensure India stay in Group I","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/Tennis&pathFrom=/content/mm/en/sports,/sports/tennis/2018/02/10/fed-cup-india-chinese-taipei-ankita-raina.html,/sports/tennis/2018/02/10/fed-cup-india-chinese-taipei-ankita-raina.html",
" 

                         ,	
			                  		,
										Dream debut for Dananjaya as Lanka thrash Bangla","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/10/bangladesh-sri-lanka-test-series-akila-dananjaya.html,/sports/cricket/2018/02/10/bangladesh-sri-lanka-test-series-akila-dananjaya.html",
" 

                         ,	
			                  		,
										Indian men and women end campaign in Asia Team Championship","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/other-sports&pathFrom=/content/mm/en/sports,/sports/other-sports/2018/02/09/indian-men-women-end-campaign-asia-team-championship.html,/sports/other-sports/2018/02/09/indian-men-women-end-campaign-asia-team-championship.html",
" 

                         ,	
			                  		,
										India may miss out on hosting 2021 Champions Trophy, 2023 World Cup","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/10/india-may-miss-out-on-hosting-champions-trophy-world-cup.html,/sports/cricket/2018/02/10/india-may-miss-out-on-hosting-champions-trophy-world-cup.html",
" 

                         ,	
			                  		,
										Politics can't define my cordial relation with Kohli: Afridi","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Cricket&pathFrom=/content/mm/en/sports,/sports/cricket/2018/02/10/shahid-afridi-virat-kohli-cordial-relation-indo-pak-ties.html,/sports/cricket/2018/02/10/shahid-afridi-virat-kohli-cordial-relation-indo-pak-ties.html",
" 

                         ,	
			                  		,
										Luger Shiva Keshavan carries flag for India one last time","/pagelisting-result-page-sports.html?sectionTagID=MMSectionTags:English/News/Sports/other-sports&pathFrom=/content/mm/en/sports,/sports/other-sports/2018/02/09/luger-shiva-keshavan-carries-flag-india-last-time.html,/sports/other-sports/2018/02/09/luger-shiva-keshavan-carries-flag-india-last-time.html",
link,Headlines,Date
http://indianexpress.com/article/india/salman-nadvi-acting-at-behest-of-modi-asaduddin-owaisi-5060365/,Salman Nadvi acting at behest of Modi: Asaduddin Owaisi,"February 12, 2018 10:50 am"
http://indianexpress.com/article/india/weather-live-updates-rain-hailstorm-likely-in-delhi-snowfall-in-parts-of-north-india-today-5060406/,"Weather LIVE UPDATES: Rain, hailstorm likely in Delhi, snowfall in parts of north India today","February 12, 2018 10:50 am"
http://indianexpress.com/article/india/shopian-firing-fir-supreme-court-to-hear-petition-by-father-of-army-officer-major-aditya-kumar-today-5060340/,Shopian firing FIR: Supreme Court to hear petition by father of Army officer Major Aditya Kumar today,"February 12, 2018 9:58 am"
http://indianexpress.com/article/india/jat-leaders-cancel-february-15-jind-rally-5060342/,Jat leaders cancel February 15 Jind rally,"February 12, 2018 9:52 am"
http://indianexpress.com/article/india/gujarat-narmada-river-water-canal-5060274/,Narmada water: Despair and defiance along the canal,"February 12, 2018 9:46 am"
http://indianexpress.com/article/india/delhi-likely-to-experience-heavy-rainfall-hailstorm-today-imd-5060258/,"Delhi likely to experience heavy rainfall, hailstorm today; snowfall in Himachal: IMD","February 12, 2018 9:45 am"
http://indianexpress.com/article/india/salman-nadwi-acting-at-behest-of-pm-modi-says-owaisi-5060269/,"Salman Nadwi acting at behest of PM Modi, says Owaisi","February 12, 2018 8:13 am"
http://indianexpress.com/article/india/pm-narendra-modi-in-oman-live-updates-visit-to-shiva-temple-interact-with-ceos-sultan-qaboos-grand-mosque-5060235/,"Modi in Oman LIVE Updates: PM to cap off tour with visit to Shiva temple, interaction with CEOs","February 12, 2018 10:10 am"
http://indianexpress.com/article/india/maharashtra-hail-and-thunderstorm-damage-orange-wheat-light-rain-likely-today-5060266/,"Maharashtra: Hail and thunderstorm damage orange, wheat; light rain likely today","February 12, 2018 8:03 am"
http://indianexpress.com/article/india/appropriate-answer-will-be-given-to-pakistan-at-the-right-time-says-union-minister-shiv-pratap-shukla-5060257/,"Appropriate answer will be given to Pakistan at the right time, says Union minister Shiv Pratap","February 12, 2018 8:26 am"
http://indianexpress.com/article/india/cpm-elects-new-north-24-parganas-secy-to-replace-ailing-party-leader-5060231/,CPM elects new North 24 Parganas secy to replace ailing party leader,"February 12, 2018 5:53 am"
http://indianexpress.com/article/india/rampur-two-held-for-ferrying-141-cow-hides-to-meerut-5060215/,Rampur: Two held for ferrying 141 cow hides to Meerut,"February 12, 2018 5:05 am"
http://indianexpress.com/article/india/shia-board-chief-slams-aimplb-calls-it-a-terror-group-branch-5060201/,"Shia board chief slams AIMPLB, calls it a ‘terror group’ branch","February 12, 2018 4:50 am"
http://indianexpress.com/article/india/rss-chief-says-can-raise-force-in-days-army-needs-months-hindutva-bjp-5060182/,"Mohan Bhagwat says RSS can raise force in days, Army needs months","February 12, 2018 7:23 am"
http://indianexpress.com/article/india/in-odisha-poachers-turn-protectors-and-un-takes-note-5060197/,"In Odisha, Poachers Turn Protectors — And UN Takes Note","February 12, 2018 9:21 am"
http://indianexpress.com/article/india/modi-in-oman-congress-nri-muscat-west-asia-tour-gulf-nations-india-5060176/,Modi to Indian workers in Gulf: Govt will protect your hard-earned money,"February 12, 2018 7:12 am"
http://indianexpress.com/article/india/gautam-adani-dri-authoritys-clean-chit-to-firms-is-illegal-customs-appeal-5060183/,DRI authority’s clean chit to Adani firms is illegal: Customs appeal,"February 12, 2018 7:17 am"
http://indianexpress.com/article/india/sunjuwan-terror-attack-indian-army-camp-jem-kashmir-soldiers-pakistan-5060165/,"Sunjuwan attack: ‘I called him again, but phone was switched off’","February 12, 2018 11:14 am"
http://indianexpress.com/article/india/odisha-bijepur-bypoll-a-prestige-battle-ahead-of-2019-state-polls-5060208/,Odisha: Bijepur bypoll a prestige battle ahead of 2019 state polls,"February 12, 2018 4:30 am"
http://indianexpress.com/article/india/sunjuwan-terror-attack-jem-five-armymen-killed-in-jammu-camp-four-from-kashmir-5060164/,"Sunjuwan attack: Five Armymen killed in Jammu camp attack, four of them from Kashmir","February 12, 2018 7:08 am"
http://indianexpress.com/article/india/pavlovian-reflex-of-mps-to-pm-modi-remark-shatters-myth-that-govt-is-working-for-women-says-renuka-chowdhury-5060204/,"Pavlovian reflex of MPs to PM Modi remark shatters myth that govt is working for women, says Renuka Chowdhury","February 12, 2018 7:15 am"
http://indianexpress.com/article/india/shia-board-chief-wasim-rizvi-slams-aimplb-for-ousting-salman-nadwi-5060200/,Shia board chief Wasim Rizvi slams AIMPLB for ousting Salman Nadwi,"February 12, 2018 4:18 am"
http://indianexpress.com/article/india/aimplb-expels-member-who-advised-out-of-court-settlement-in-babri-case-5060190/,AIMPLB expels member who advised out-of-court settlement in Babri case,"February 12, 2018 4:08 am"
http://indianexpress.com/article/india/pm-narendra-modi-meets-oman-sultan-mous-on-military-legal-co-operation-signed-5060174/,"PM Narendra Modi meets Oman Sultan, MoUs on military, legal co-operation signed","February 12, 2018 3:50 am"
http://indianexpress.com/article/india/joint-statement-india-uae-condemn-use-of-terror-as-state-policy-5060178/,"Joint statement: India, UAE condemn use of terror as State policy","February 12, 2018 3:46 am"
http://indianexpress.com/article/india/alliance-with-rajinikanth-unlikely-if-his-politics-is-saffron-kamal-haasan-5060172/,Alliance with Rajinikanth unlikely if his politics is saffron: Kamal Haasan,"February 12, 2018 3:14 am"
http://indianexpress.com/article/india/event-on-border-issues-bsf-dg-kk-sharma-attends-rss-affiliate-meet-5060168/,Event on border issues: BSF DG KK Sharma attends RSS-affiliate meet,"February 12, 2018 3:08 am"
http://indianexpress.com/article/india/man-held-for-breaking-into-bank-claims-he-is-presidents-bodyguard-5060162/,Man held for breaking into bank claims he is President’s Bodyguard,"February 12, 2018 3:06 am"
http://indianexpress.com/article/india/jawans-wife-injured-in-sunjwan-terror-attack-delivers-girl-both-safe-5060158/,"Jawan’s wife injured in Sunjwan terror attack delivers girl, both safe","February 12, 2018 2:53 am"
http://indianexpress.com/article/india/rajnath-singh-meets-jk-governor-n-n-vohra-5060152/,"Rajnath Singh meets J&K Governor N N Vohra, discuss current situation in the valley","February 12, 2018 2:49 am"
http://indianexpress.com/article/india/poonch-ceasefire-violation-soldier-succumbs-to-injuries-5060140/,Ceasefire violation: Soldier succumbs to injuries,"February 12, 2018 2:45 am"
http://indianexpress.com/article/india/after-6-hour-meet-with-manohar-lal-khattar-jat-outfits-call-off-february-15-protest-5060134/,"After 6-hour meet with Khattar, Jat outfits call off  February 15 protest","February 12, 2018 2:35 am"
http://indianexpress.com/article/india/top-scientist-sacked-for-sexually-harassing-colleague-5060133/,Top scientist sacked for sexually harassing colleague,"February 12, 2018 10:26 am"
http://indianexpress.com/article/india/job-creation-will-be-taken-up-on-mission-mode-claims-maharashtra-finance-minister-5060116/,"‘Job creation will be taken up on mission mode’, claims Maharashtra Finance Minister","February 12, 2018 2:06 am"
http://indianexpress.com/article/india/gujarat-movement-of-horses-barred-after-glanders-case-in-junagadh-5060091/,Gujarat: Movement of horses barred after Glanders case in Junagadh,"February 12, 2018 1:26 am"
http://indianexpress.com/article/india/300-meters-away-from-kasganj-violence-spot-one-police-station-with-100-cops-for-one-lakh-people-5060095/,"300 meters away from Kasganj violence spot, one police station with 100 cops for one lakh people","February 12, 2018 1:09 am"
http://indianexpress.com/article/india/former-bjp-minister-two-ex-mlas-fined-1500-rupees-each-for-rail-roko-5060084/,"Former BJP minister, two ex-MLAs fined 1,500 rupees each for rail roko","February 12, 2018 1:06 am"
http://indianexpress.com/article/india/congress-to-form-shadow-cabinet-to-corner-govt-in-assembly-5060068/,Congress to form shadow cabinet to corner govt in Assembly,"February 12, 2018 1:07 am"
http://indianexpress.com/article/india/indian-railways-accident-safety-complaints-whistleblower-blame-game-4-5060048/,Blame Game,"February 12, 2018 12:28 am"
http://indianexpress.com/article/india/power-minister-new-plants-only-within-500-kms-of-coal-field-5060057/,Power Minister: New plants only within 500 kms of coal field,"February 12, 2018 12:16 am"
http://indianexpress.com/article/india/narendra-modi-in-oman-pm-takes-dig-at-congress-slams-its-style-of-misgovernance-5060055/,"Narendra Modi in Muscat: PM takes dig at Congress, slams its ‘style of misgovernance’","February 12, 2018 12:25 am"
http://indianexpress.com/article/india/peoples-polarisation-under-rahul-gandhis-leadership-taking-place-a-k-antony-5060011/,People’s ‘polarisation’ under Rahul Gandhi’s leadership taking place: AK Antony,"February 11, 2018 10:54 pm"
http://indianexpress.com/article/india/shopian-firing-ex-army-chief-v-p-malik-demands-withdrawal-of-fir-5060006/,Shopian firing: Ex-Army chief V P Malik demands withdrawal of FIR,"February 11, 2018 10:20 pm"
http://indianexpress.com/article/india/aadhaar-not-compulsory-for-treatment-haryana-government-to-hospitals-5059981/,Aadhaar not compulsory for treatment: Haryana government to hospitals,"February 11, 2018 10:15 pm"
http://indianexpress.com/article/india/jk-governor-n-n-vohra-meets-rajnath-singh-5059997/,JK governor N N Vohra meets Rajnath Singh,"February 11, 2018 10:12 pm"
http://indianexpress.com/article/india/nepals-king-gyanendra-offers-puja-at-jagannath-temple-5059996/,Nepal’s King Gyanendra offers puja at Jagannath Temple,"February 11, 2018 10:11 pm"
http://indianexpress.com/article/india/give-free-hand-to-army-in-kashmir-says-pravin-togadia-5059998/,"Give free hand to Army in Kashmir, says Pravin Togadia","February 11, 2018 10:11 pm"
http://indianexpress.com/article/india/rss-can-prepare-an-army-within-three-days-mohan-bhagwat-5059995/,RSS can prepare an army within three days: Mohan Bhagwat,"February 11, 2018 10:06 pm"
http://indianexpress.com/article/india/attack-on-army-camp-reflects-nda-govts-failure-ghulam-nabi-azad-5059994/,Attack on Army camp reflects NDA govt’s failure: Ghulam Nabi Azad,"February 11, 2018 10:05 pm"
http://indianexpress.com/article/india/b-s-yeddyurappa-flays-rahul-gandhi-for-accepting-gifts-in-gold-silver-5059883/,B S Yeddyurappa flays Rahul Gandhi for accepting ‘gifts in gold & silver’,"February 11, 2018 9:40 pm"
http://indianexpress.com/article/india/rahul-gandhi-likens-pm-modi-to-cricketer-who-bats-looking-at-keeper-5059892/,Rahul Gandhi likens PM Modi to cricketer who bats looking at keeper,"February 11, 2018 8:26 pm"
http://indianexpress.com/article/india/rafale-deal-will-be-bjps-achilles-heel-congress-leader-salman-khurshid-5059885/,Rafale deal will be BJP’s Achilles’ heel: Congress leader Salman Khurshid,"February 11, 2018 7:53 pm"
http://indianexpress.com/article/india/parties-oppose-unveiling-j-jayalalithaas-portrait-dmk-to-boycott-event-5059872/,"Parties oppose unveiling J Jayalalithaa’s portrait, DMK to boycott event","February 11, 2018 7:45 pm"
http://indianexpress.com/article/india/rajnath-singh-inaugurates-6th-hunar-haat-platform-for-artisans-from-minority-communities-5059843/,"Rajnath Singh inaugurates 6th Hunar Haat, platform for artisans from minority communities","February 11, 2018 7:21 pm"
http://indianexpress.com/article/india/start-working-you-dont-have-much-time-rahul-gandhi-tells-pm-modi-5059847/,"‘Start working because you don’t have much time,’ Rahul Gandhi tells PM Modi","February 11, 2018 7:51 pm"
http://indianexpress.com/article/india/up-lok-sabha-bypolls-bjp-banks-on-modi-yogi-factor-opposition-on-their-failures-5059756/,"UP Lok Sabha bypolls: BJP banks on Modi-Yogi factor, Opposition on their ‘failures’","February 11, 2018 6:59 pm"
http://indianexpress.com/article/india/pm-modi-meets-counterpart-french-edouard-philippe-discusses-ways-to-strengthen-ties-5059779/,"PM Modi meets French counterpart Edouard Philippe, discusses ways to strengthen ties","February 11, 2018 6:54 pm"
http://indianexpress.com/article/india/dalit-woman-raped-in-uttar-pradesh-5059836/,Dalit woman raped in Uttar Pradesh,"February 11, 2018 6:52 pm"
http://indianexpress.com/article/india/womans-body-found-in-forest-uncle-held-for-murder-5059835/,Woman’s body found in forest; uncle held for murder,"February 11, 2018 6:42 pm"
http://indianexpress.com/article/india/india-should-not-remain-mute-spectator-says-yashwant-sinha-on-maldives-crisis-5059827/,"India should not remain mute spectator, says Yashwant Sinha on Maldives crisis","February 11, 2018 6:33 pm"
http://indianexpress.com/article/india/statements-of-goa-government-expose-its-bhatkar-mentality-says-congress-5059794/,"Statements of Goa government expose its ‘bhatkar’ mentality, says Congress","February 11, 2018 6:20 pm"
http://indianexpress.com/article/india/issue-of-strikes-on-security-forces-needs-to-be-looked-into-yashwant-sinha-sunjuwan-attack-5059778/,Issue of strikes on security forces needs to be looked into: Yashwant Sinha,"February 11, 2018 6:20 pm"
http://indianexpress.com/article/india/man-killed-as-stray-cow-hits-his-bike-5059768/,Man killed as stray cow hits his bike,"February 11, 2018 6:08 pm"
http://indianexpress.com/article/india/up-lok-sabha-bypolls-bjp-banks-on-modi-yogi-factor-opposition-on-their-failures-5059748/,"UP Lok Sabha bypolls: BJP banks on Modi-Yogi factor, Opposition on their ‘failures’","February 11, 2018 5:57 pm"
http://indianexpress.com/article/india/people-facing-trial-for-serious-offences-be-barred-from-polls-election-commission-to-supreme-court-5059759/,People facing trial for serious offences be barred from polls: Election Commission to Supreme Court,"February 11, 2018 5:56 pm"
http://indianexpress.com/article/india/inx-media-case-enforcement-directorate-issues-fresh-summons-to-karti-chidambaram-5059691/,INX Media case: Enforcement Directorate issues fresh summons to Karti Chidambaram,"February 11, 2018 5:37 pm"
http://indianexpress.com/article/india/aimplb-sacks-cleric-for-suggesting-out-of-court-settlement-in-ayodhya-dispute-5059681/,AIMPLB sacks cleric for suggesting out of court settlement in Ayodhya dispute,"February 11, 2018 10:10 pm"
http://indianexpress.com/article/india/pm-modi-warns-against-use-of-technology-for-destruction-at-world-government-summit-in-uae-5059697/,"Technology should be harnessed as a tool for development, not destruction: PM Modi in UAE","February 11, 2018 8:32 pm"
http://indianexpress.com/article/india/up-home-guards-likely-to-be-posted-along-indo-nepal-border-5059686/,UP Home Guards likely to be posted along Indo-Nepal border,"February 11, 2018 4:55 pm"
http://indianexpress.com/article/india/mid-air-collision-averted-vistara-flight-comes-close-to-air-india-plane-5059660/,"Mid-air collision averted, Vistara flight comes close to Air India plane","February 11, 2018 4:50 pm"
http://indianexpress.com/article/india/no-gst-on-laughter-dont-need-permission-to-laugh-renuka-chowdhury-narendra-modi-5059658/,"No GST on laughter, don’t need permission to laugh: Renuka Chowdhury","February 11, 2018 4:27 pm"
http://indianexpress.com/article/india/delhi-a-victim-of-step-motherly-treatment-by-centre-says-manish-sisodia-5059651/,"Delhi a victim of ‘step-motherly treatment’ by Centre, says Manish Sisodia","February 11, 2018 4:10 pm"
http://indianexpress.com/article/india/salman-nadvi-acting-at-behest-of-modi-asaduddin-owaisi-5060365/,Salman Nadvi acting at behest of Modi: Asaduddin Owaisi,"February 12, 2018 10:50 am"
http://indianexpress.com/article/india/weather-live-updates-rain-hailstorm-likely-in-delhi-snowfall-in-parts-of-north-india-today-5060406/,"Weather LIVE UPDATES: Rain, hailstorm likely in Delhi, snowfall in parts of north India today","February 12, 2018 10:50 am"
http://indianexpress.com/article/india/shopian-firing-fir-supreme-court-to-hear-petition-by-father-of-army-officer-major-aditya-kumar-today-5060340/,Shopian firing FIR: Supreme Court to hear petition by father of Army officer Major Aditya Kumar today,"February 12, 2018 9:58 am"
http://indianexpress.com/article/india/jat-leaders-cancel-february-15-jind-rally-5060342/,Jat leaders cancel February 15 Jind rally,"February 12, 2018 9:52 am"
http://indianexpress.com/article/india/gujarat-narmada-river-water-canal-5060274/,Narmada water: Despair and defiance along the canal,"February 12, 2018 9:46 am"
http://indianexpress.com/article/india/delhi-likely-to-experience-heavy-rainfall-hailstorm-today-imd-5060258/,"Delhi likely to experience heavy rainfall, hailstorm today; snowfall in Himachal: IMD","February 12, 2018 9:45 am"
http://indianexpress.com/article/india/salman-nadwi-acting-at-behest-of-pm-modi-says-owaisi-5060269/,"Salman Nadwi acting at behest of PM Modi, says Owaisi","February 12, 2018 8:13 am"
http://indianexpress.com/article/india/pm-narendra-modi-in-oman-live-updates-visit-to-shiva-temple-interact-with-ceos-sultan-qaboos-grand-mosque-5060235/,"Modi in Oman LIVE Updates: PM to cap off tour with visit to Shiva temple, interaction with CEOs","February 12, 2018 10:10 am"
http://indianexpress.com/article/india/maharashtra-hail-and-thunderstorm-damage-orange-wheat-light-rain-likely-today-5060266/,"Maharashtra: Hail and thunderstorm damage orange, wheat; light rain likely today","February 12, 2018 8:03 am"
http://indianexpress.com/article/india/appropriate-answer-will-be-given-to-pakistan-at-the-right-time-says-union-minister-shiv-pratap-shukla-5060257/,"Appropriate answer will be given to Pakistan at the right time, says Union minister Shiv Pratap","February 12, 2018 8:26 am"
http://indianexpress.com/article/india/cpm-elects-new-north-24-parganas-secy-to-replace-ailing-party-leader-5060231/,CPM elects new North 24 Parganas secy to replace ailing party leader,"February 12, 2018 5:53 am"
http://indianexpress.com/article/india/rampur-two-held-for-ferrying-141-cow-hides-to-meerut-5060215/,Rampur: Two held for ferrying 141 cow hides to Meerut,"February 12, 2018 5:05 am"
http://indianexpress.com/article/india/shia-board-chief-slams-aimplb-calls-it-a-terror-group-branch-5060201/,"Shia board chief slams AIMPLB, calls it a ‘terror group’ branch","February 12, 2018 4:50 am"
http://indianexpress.com/article/india/rss-chief-says-can-raise-force-in-days-army-needs-months-hindutva-bjp-5060182/,"Mohan Bhagwat says RSS can raise force in days, Army needs months","February 12, 2018 7:23 am"
http://indianexpress.com/article/india/in-odisha-poachers-turn-protectors-and-un-takes-note-5060197/,"In Odisha, Poachers Turn Protectors — And UN Takes Note","February 12, 2018 9:21 am"
http://indianexpress.com/article/india/modi-in-oman-congress-nri-muscat-west-asia-tour-gulf-nations-india-5060176/,Modi to Indian workers in Gulf: Govt will protect your hard-earned money,"February 12, 2018 7:12 am"
http://indianexpress.com/article/india/gautam-adani-dri-authoritys-clean-chit-to-firms-is-illegal-customs-appeal-5060183/,DRI authority’s clean chit to Adani firms is illegal: Customs appeal,"February 12, 2018 7:17 am"
http://indianexpress.com/article/india/sunjuwan-terror-attack-indian-army-camp-jem-kashmir-soldiers-pakistan-5060165/,"Sunjuwan attack: ‘I called him again, but phone was switched off’","February 12, 2018 11:14 am"
http://indianexpress.com/article/india/odisha-bijepur-bypoll-a-prestige-battle-ahead-of-2019-state-polls-5060208/,Odisha: Bijepur bypoll a prestige battle ahead of 2019 state polls,"February 12, 2018 4:30 am"
http://indianexpress.com/article/india/sunjuwan-terror-attack-jem-five-armymen-killed-in-jammu-camp-four-from-kashmir-5060164/,"Sunjuwan attack: Five Armymen killed in Jammu camp attack, four of them from Kashmir","February 12, 2018 7:08 am"
http://indianexpress.com/article/india/pavlovian-reflex-of-mps-to-pm-modi-remark-shatters-myth-that-govt-is-working-for-women-says-renuka-chowdhury-5060204/,"Pavlovian reflex of MPs to PM Modi remark shatters myth that govt is working for women, says Renuka Chowdhury","February 12, 2018 7:15 am"
http://indianexpress.com/article/india/shia-board-chief-wasim-rizvi-slams-aimplb-for-ousting-salman-nadwi-5060200/,Shia board chief Wasim Rizvi slams AIMPLB for ousting Salman Nadwi,"February 12, 2018 4:18 am"
http://indianexpress.com/article/india/aimplb-expels-member-who-advised-out-of-court-settlement-in-babri-case-5060190/,AIMPLB expels member who advised out-of-court settlement in Babri case,"February 12, 2018 4:08 am"
http://indianexpress.com/article/india/pm-narendra-modi-meets-oman-sultan-mous-on-military-legal-co-operation-signed-5060174/,"PM Narendra Modi meets Oman Sultan, MoUs on military, legal co-operation signed","February 12, 2018 3:50 am"
http://indianexpress.com/article/india/joint-statement-india-uae-condemn-use-of-terror-as-state-policy-5060178/,"Joint statement: India, UAE condemn use of terror as State policy","February 12, 2018 3:46 am"
http://indianexpress.com/article/india/alliance-with-rajinikanth-unlikely-if-his-politics-is-saffron-kamal-haasan-5060172/,Alliance with Rajinikanth unlikely if his politics is saffron: Kamal Haasan,"February 12, 2018 3:14 am"
http://indianexpress.com/article/india/event-on-border-issues-bsf-dg-kk-sharma-attends-rss-affiliate-meet-5060168/,Event on border issues: BSF DG KK Sharma attends RSS-affiliate meet,"February 12, 2018 3:08 am"
http://indianexpress.com/article/india/man-held-for-breaking-into-bank-claims-he-is-presidents-bodyguard-5060162/,Man held for breaking into bank claims he is President’s Bodyguard,"February 12, 2018 3:06 am"
http://indianexpress.com/article/india/jawans-wife-injured-in-sunjwan-terror-attack-delivers-girl-both-safe-5060158/,"Jawan’s wife injured in Sunjwan terror attack delivers girl, both safe","February 12, 2018 2:53 am"
http://indianexpress.com/article/india/rajnath-singh-meets-jk-governor-n-n-vohra-5060152/,"Rajnath Singh meets J&K Governor N N Vohra, discuss current situation in the valley","February 12, 2018 2:49 am"
http://indianexpress.com/article/india/poonch-ceasefire-violation-soldier-succumbs-to-injuries-5060140/,Ceasefire violation: Soldier succumbs to injuries,"February 12, 2018 2:45 am"
http://indianexpress.com/article/india/after-6-hour-meet-with-manohar-lal-khattar-jat-outfits-call-off-february-15-protest-5060134/,"After 6-hour meet with Khattar, Jat outfits call off  February 15 protest","February 12, 2018 2:35 am"
http://indianexpress.com/article/india/top-scientist-sacked-for-sexually-harassing-colleague-5060133/,Top scientist sacked for sexually harassing colleague,"February 12, 2018 10:26 am"
http://indianexpress.com/article/india/job-creation-will-be-taken-up-on-mission-mode-claims-maharashtra-finance-minister-5060116/,"‘Job creation will be taken up on mission mode’, claims Maharashtra Finance Minister","February 12, 2018 2:06 am"
http://indianexpress.com/article/india/gujarat-movement-of-horses-barred-after-glanders-case-in-junagadh-5060091/,Gujarat: Movement of horses barred after Glanders case in Junagadh,"February 12, 2018 1:26 am"
http://indianexpress.com/article/india/300-meters-away-from-kasganj-violence-spot-one-police-station-with-100-cops-for-one-lakh-people-5060095/,"300 meters away from Kasganj violence spot, one police station with 100 cops for one lakh people","February 12, 2018 1:09 am"
link,Headlines,date
https://www.hindustantimes.com/india-news/modi-in-oman-live-pm-attends-the-india-oman-business-meet/story-HM6AC3nhQqnUJCEV9VaTIL.html,Modi in Oman live: PM attends the India-Oman business meet,
https://www.hindustantimes.com/india-news/snowfall-in-kashmir-valley-and-himachal-jammu-srinagar-highway-closed/story-3vvmzK2kUVofCSFFy80ftK.html,"Snowfall in Kashmir Valley and  Himachal, Jammu-Srinagar highway closed",
https://www.hindustantimes.com/india-news/possible-attack-at-crpf-camp-in-srinagar-foiled-as-alert-guard-opens-fire/story-pq6GMJMqrxGHxPZuWJ3t0H.html,"Gunfight on in building near Srinagar CRPF camp after guard foils militants’ attempt to enter base, 1 jawan injured",
https://www.hindustantimes.com/india-news/as-canadian-gurdwaras-ban-indian-diplomats-fears-of-a-new-sikh-uprising-emerge/story-nX3pkPJSoVLuCowdxxhkjI.html,"As Canadian gurdwaras ban Indian diplomats, fears of a new Sikh uprising emerge ",
